name,category,value,duped_value,demand
147,Rim,20000,N/A,Close to none
2 Billion,Spoiler,6000000,N/A,Close to none
3 Billion,Spoiler,500000,N/A,Close to none
3 Billion,Tire Sticker,750000,N/A,Close to none
3 Lives,Spoiler,10000,N/A,Unknown
4 Billion,Rim,500000,N/A,Close to none
5 Star,Spoiler,3500000,N/A,Close to none
5B Flags,Spoiler,500000,N/A,Close to none
6 Billion,Spoiler,500000,N/A,Close to none
7 billion,Rim,10000,N/A,Unknown
8-Bit,Rim,250000,N/A,Close to none
8-Bit Rug,Furniture,18000,N/A,Unknown
80s Cassette Table,Furniture,500000,N/A,Close to none
80s Style,Tire Sticker,750000,N/A,Close to none
ATV,Vehicle,50000,N/A,Unknown
Abstracts,Rim,120000,N/A,Close to none
AdminNuke,Vehicle,N/A,N/A,Unknown
Aerial Support,Spoiler,250000,N/A,Close to none
Aeroblob,Rim,N/A,N/A,Unknown
After Burner,Spoiler,1500000,N/A,Very Low
Agent,Vehicle,2000000,N/A,Low
Ahooga,Horn,N/A,N/A,Unknown
Air Hockey Table,Furniture,1000000,N/A,Close to none
Airhorn,Horn,N/A,N/A,Unknown
Airtail,Vehicle,3000000,N/A,Decent
Alpine Racer,Texture,250000,N/A,Close to none
Ambulance,Vehicle,90000,N/A,Unknown
America,Tire Style,1000000,N/A,Close to none
Animated Obby,Rim,N/A,N/A,Close to none
Aperture,Vehicle,7500000,N/A,Decent
Aquatic,Texture,750000,N/A,Very Low
Aquatic,Weapon Skin,N/A,N/A,Unknown
Arachnid,Rim,1000,N/A,Unknown
Arachnid,Vehicle,17500000,15000000,Low
Arcade Portal,Furniture,1000000,N/A,Close to none
Arcade Racer,Spoiler,1000000,N/A,Close to none
Arcade Sports Machine,Furniture,750000,N/A,Close to none
Arch,Spoiler,15000,N/A,Unknown
Arch9000 Glow,Tire Sticker,500000,N/A,Close to none
Armor,Texture,1500000,N/A,Very Low
ArmorPunk,Rim,50000,N/A,Unknown
Asimos Desk,Furniture,3500,N/A,Close to none
Aurora,Drift,2000000,N/A,Medium
Aurora,Texture,250000,N/A,Close to none
Aurora,Weapon Skin,5000,N/A,Unknown
Aurora Chandelier,Furniture,250000,N/A,Close to none
Avatar Wardrobe,Furniture,500000,N/A,Close to none
Bacon,Texture,750000,N/A,Close to none
Bad Omen,Rim,50000,N/A,Unknown
Badger,Vehicle,45000,N/A,Unknown
Badimo Bros Wall Light,Furniture,30000,N/A,Unknown
Badonuts,Tire Sticker,35000,N/A,Close to none
Ball,Texture,20000,N/A,Unknown
Baller,Rim,1000000,N/A,Close to none
Bamboo,Rim,5000,N/A,Close to none
Bamboo Shooters,Spoiler,1000000,N/A,Close to none
Banana Car,Vehicle,16000000,N/A,Medium
Banana Chandelier,Furniture,500000,N/A,Close to none
Bananas,Drift,10000,N/A,Close to none
Bandana,Texture,500000,N/A,Close to none
Bandit,Vehicle,5000000,N/A,Decent
Bank Truck,Vehicle,N/A,N/A,Unknown
BatWings,Spoiler,50000,N/A,Unknown
Beach Hammock,Furniture,750000,N/A,Close to none
Beachball,Rim,500000,N/A,Close to none
Beadlock,Rim,750000,N/A,Close to none
Beam Hybrid,Vehicle,19000000,16000000,Decent
Beignet,Vehicle,40000000,37000000,High
Belgian Waffle,Rim,250000,N/A,Close to none
Berlin Graffiti,Texture,1000000,N/A,Very Low
Bicycle,Horn,N/A,N/A,Unknown
Bicycle Rack,Spoiler,5500000,N/A,Close to none
Billion,Rim,10000,N/A,Unknown
Biohazard,Rim,1000000,N/A,Close to none
Bionic,Vehicle,1000000,N/A,Very Low
Birdtail,Spoiler,N/A,N/A,Unknown
Black,Body Color,1000,N/A,Close to none
Black Ceiling Fan,Furniture,5000,N/A,Close to none
Black Hawk,Vehicle,1000000,N/A,Close to none
Black Ice,Texture,2500000,N/A,Very Low
Black Ice,Weapon Skin,500000,N/A,Close to none
Black Widow,Vehicle,2250000,N/A,Low
Blackbeard,Vehicle,1500000,N/A,Very Low
Blade,Rim,N/A,N/A,Unknown
Bleeding Edge,Spoiler,N/A,N/A,Unknown
Block Wing,Spoiler,5000,N/A,Unknown
Bloxxer,Drift,1000000,N/A,Close to none
Bloxxer Launcher,Spoiler,1000000,N/A,Close to none
Bloxy,Rim,25000,N/A,Unknown
Bloxy,Vehicle,2500000,N/A,Decent
Bloxy Lisa,Furniture,1000000,N/A,Close to none
Blue,Body Color,1000,N/A,Unknown
Blue 50,Tire Sticker,7500000,N/A,Very Low
Blue Chute,Spoiler,1250000,N/A,Close to none
Blue Eyes,Rim,2500000,N/A,Very Low
Blue Fire,Drift,18500000,N/A,Decent
Blue Pixel,Texture,2500000,N/A,Low
Blue Pixel Racer,Texture,250000,N/A,Close to none
Blue Portal,Rim,1500000,N/A,Very Low
Blue S3,Tire Sticker,1000000,N/A,Close to none
BlueBird,Vehicle,1500000,N/A,Very Low
BombChandelier,Furniture,5000,N/A,Close to none
Bonded,Rim,500000,N/A,Close to none
Boomerang,Spoiler,20000,N/A,Unknown
BoominSpeaker,Rim,250000,N/A,Close to none
Bounty Board,Furniture,N/A,N/A,Unknown
Box O Cash,Spoiler,10000,N/A,Close to none
Boxer,Vehicle,55000,N/A,Unknown
Brick Kar-1,Spoiler,100000,N/A,Close to none
Brick Kar-1,Vehicle,2500000,N/A,Low
Brickset,Drift,1500000,N/A,Close to none
Brickset,Rim,2500000,N/A,Very Low
Brickset,Spoiler,2500000,N/A,Close to none
Brickset,Tire Style,6000000,N/A,Decent
Brig Bone,Rim,250000,N/A,Close to none
Brulee,Vehicle,3000000,N/A,Decent
Bubble Wand,Drift,45000,N/A,Unknown
Buccaneer,Texture,250000,N/A,Close to none
Bull,Rim,1250000,N/A,Very Low
Bull,Spoiler,1000000,N/A,Close to none
Bunnybed,Furniture,12500,N/A,Unknown
Buoy,Tire Sticker,250000,N/A,Close to none
Cactus Buddy,Furniture,10000,N/A,Close to none
Camaro,Vehicle,N/A,N/A,Unknown
Camo,Texture,50000,N/A,Unknown
Camo,Weapon Skin,N/A,N/A,Unknown
Camo Radar,Texture,750000,N/A,Close to none
Camo Radar,Weapon Skin,N/A,N/A,Unknown
Camo Shark,Texture,100000,N/A,Close to none
Camper,Vehicle,79000,N/A,Unknown
Campout,Spoiler,50000,N/A,Close to none
Can Light,Furniture,2000,N/A,Close to none
Candy Cane,Texture,40000,N/A,Unknown
Candy Cane,Weapon Skin,N/A,N/A,Unknown
Cannonfire,Spoiler,1250000,N/A,Close to none
Captain Chandelier,Furniture,10000,N/A,Close to none
Captain Table,Furniture,15000,N/A,Close to none
Car Pool Table,Furniture,500000,N/A,Close to none
Carbon Fire,Texture,325000,N/A,Unknown
Carbonara,Spoiler,100000,N/A,Unknown
Carbonara,Vehicle,5500000,N/A,Decent
Cartoon,Drift,35000,N/A,Unknown
Cash Spitter,Spoiler,3500000,N/A,Decent
Cassette,Rim,250000,N/A,Close to none
Cassette,Spoiler,N/A,N/A,Unknown
CatPlush,Furniture,5000,N/A,Close to none
Catch Me,Spoiler,50000,N/A,Unknown
Celestial,Vehicle,N/A,N/A,Unknown
Celsior,Vehicle,30000000,28000000,Low
Center Lock,Rim,2500000,N/A,Very Low
Challenger,Vehicle,59000,N/A,Unknown
Champion,Tire Sticker,250000,N/A,Close to none
Champion Trumpets,Horn,500000,N/A,Close to none
Checker,Texture,41000000,38000000,Decent
Cheese Burger,Tire Style,250000,N/A,Close to none
Chilling,Texture,250000,N/A,Unknown
Circuit Board,Weapon Skin,1500000,N/A,Close to none
Circuits,Texture,1000000,N/A,Close to none
City,Horn,N/A,N/A,Unknown
Classic,Spoiler,7500,N/A,Unknown
Classic,Tire Style,N/A,N/A,Unknown
Classic,Vehicle,500000,N/A,Close to none
Classic Jet,Spoiler,N/A,N/A,Close to none
Classic Sport,Tire Style,N/A,N/A,Unknown
Classic Thick,Tire Style,N/A,N/A,Unknown
Classic Var 1,Texture,50000,N/A,Unknown
Classic Var 2,Texture,4000,N/A,Unknown
Classic Var 3,Texture,50000,N/A,Unknown
ClassicDoubleTwin,Furniture,5000,N/A,Close to none
ClassicIceTable,Furniture,2500,N/A,Close to none
ClassicModernCouch,Furniture,4500,N/A,Close to none
ClassicRoundDanceFloor,Furniture,10000,N/A,Close to none
ClassicSmallDanceFloor,Furniture,10000,N/A,Close to none
ClassicTVWall,Furniture,10000,N/A,Close to none
Clickbait,Spoiler,4000000,N/A,Close to none
ClosedCircuit,Tire Style,N/A,N/A,Unknown
Clown,Horn,20000,N/A,Unknown
Cobra,Vehicle,2500000,N/A,Medium
Cobweb,Rim,25000,N/A,Close to none
Colors Of Italy,Spoiler,1500000,N/A,Very Low
Comic Convict,Texture,250000,N/A,Close to none
Compass,Rim,750000,N/A,Close to none
Concept,Vehicle,2500000,N/A,Low
Confetti Cannon,Furniture,25000,N/A,Close to none
ConspiracyBoard,Furniture,1500,N/A,Close to none
Construction,Tire Sticker,60000,N/A,Unknown
Corp CR1,Rim,25000,N/A,Unknown
Cosmetic Safe,Furniture,50000,N/A,Close to none
Cosmic,Drift,120000,N/A,Close to none
Countdown,Horn,N/A,N/A,Unknown
Cow,Texture,4000,N/A,Unknown
Cracky4,Texture,N/A,N/A,Unknown
Crash Nation,Tire Sticker,20000,N/A,Unknown
Crazy Driver,Furniture,N/A,N/A,Unknown
Creator,Texture,N/A,N/A,Unknown
Crew Capsule,Vehicle,9000000,N/A,Very Low
Criminal,Tire Sticker,20000,N/A,Unknown
Crimson Racer,Texture,1000000,N/A,Close to none
Crown,Vehicle,666000,N/A,Close to none
Cruise Liner,Horn,N/A,N/A,Unknown
Cruiser,Vehicle,N/A,N/A,Unknown
Cryo Chamber,Furniture,1500000,N/A,Close to none
Cucaracha,Horn,1250000,N/A,Close to none
Cyan,Body Color,1000,N/A,Unknown
CyberBlue Couch,Furniture,50000,N/A,Close to none
CyberTruck,Vehicle,100000,N/A,Unknown
CyberTubes,Furniture,6000,N/A,Close to none
Cyberpunk,Spoiler,500000,N/A,Close to none
Cyclone,Rim,N/A,N/A,Unknown
DJBooth,Furniture,20000,N/A,Close to none
DPad,Rim,100000,N/A,Close to none
Dance Floor,Furniture,25000,N/A,Close to none
Dark Matter,Drift,1000000,N/A,Very Low
Darkest Blue,Body Color,5000,N/A,Unknown
Darkest Brown,Body Color,5000,N/A,Unknown
Darkest Green,Body Color,5000,N/A,Unknown
Darkest Marine,Body Color,5000,N/A,Unknown
Darkest Purple,Body Color,250000,N/A,Close to none
Darkest Red,Body Color,5000,N/A,Unknown
DatBrian,Tire Sticker,20000,N/A,Unknown
Daytona,Rim,1500000,N/A,Close to none
Death Ray,Spoiler,1500000,N/A,Very Low
Death Trap,Spoiler,500000,N/A,Close to none
Deep Purple,Body Color,12000,N/A,Close to none
Deep Purple Flame,Texture,120000,N/A,Close to none
DeepSeaAquarium,Furniture,25000,N/A,Close to none
Deja,Vehicle,10000,N/A,Unknown
Delivery,Rim,N/A,N/A,Unknown
Delorean,Vehicle,175000,N/A,Unknown
DenisDaily,Tire Sticker,20000,N/A,Unknown
Desert Camo,Texture,80000,N/A,Unknown
Desert Crawler,Vehicle,229000,N/A,Unknown
Diamond,Texture,40000,N/A,Unknown
Diamond,Weapon Skin,N/A,N/A,Unknown
Diamond Engrave,Rim,2000000,N/A,Very Low
Digital Confetti,Texture,750000,N/A,Close to none
Digital Confetti,Weapon Skin,1500000,N/A,Close to none
Digital RGB,Texture,250000,N/A,Unknown
Dino,Rim,750000,N/A,Close to none
Dino Exhibit,Furniture,25000,N/A,Close to none
Dirt Bike,Vehicle,35000,N/A,Unknown
Distorted,Rim,1000000,N/A,Close to none
DoYouLift,Spoiler,500000,N/A,Close to none
Doghouse Bulldog,Furniture,N/A,N/A,Unknown
Doghouse German,Furniture,N/A,N/A,Unknown
Donut,Texture,40000,N/A,Unknown
Donut,Tire Style,2000000,N/A,Very Low
Donut,Weapon Skin,N/A,N/A,Unknown
Donut Vending Machine,Furniture,75000,N/A,Close to none
Double Sofa,Furniture,5000,N/A,Close to none
Doubloon,Rim,1500000,N/A,Close to none
Dragon Breath,Spoiler,100000,N/A,Close to none
Dragon Chaser,Rim,200000,N/A,Close to none
Dragon Scales,Texture,100000,N/A,Unknown
Dragster,Spoiler,25000,N/A,Unknown
DriftwoodShelves,Furniture,5000,N/A,Close to none
Drip,Texture,20000000,N/A,High
Drip,Weapon Skin,11000000,N/A,Close to none
Drone,Vehicle,1000000,N/A,Close to none
Drop Weapons,Horn,N/A,N/A,Unknown
Drumset,Furniture,1500,N/A,Close to none
Dual Flags,Spoiler,1250000,N/A,Close to none
Dual Rockets,Spoiler,2000000,N/A,Low
Dual Wingbeat,Spoiler,20000,N/A,Close to none
Dune Buggy,Vehicle,45000,N/A,Unknown
EXP 1,Rim,500000,N/A,Close to none
Earth,Texture,1000000,N/A,Close to none
Earthquake,Texture,3500000,N/A,Low
Earthquake,Weapon Skin,500000,N/A,Close to none
Eclaire,Vehicle,600000,N/A,Close to none
Eight Leg,Spoiler,3500000,N/A,Very Low
Electronic,Texture,100000,N/A,Close to none
Electrostatic,Rim,50000,N/A,Close to none
Endurance Wing,Spoiler,2000000,N/A,Very Low
Energized,Rim,1000000,N/A,Close to none
Energy Vending Machine,Furniture,50000,N/A,Close to none
Erics Starship,Furniture,50000,N/A,Close to none
Escape Bot,Vehicle,100000,N/A,Close to none
Eternal Flame,Spoiler,10000,N/A,Close to none
Euro Clover Leaf,Rim,1000000,N/A,Close to none
Evil Eye,Rim,100000,N/A,Close to none
Expeditioner,Vehicle,55000,N/A,Close to none
Fabulous Sign,Furniture,50000,N/A,Close to none
Falcon S,Vehicle,150000,N/A,Unknown
Fall Chrome,Body Color,750000,N/A,Close to none
FancyFireplace,Furniture,10000,N/A,Close to none
FancyWallLamp,Furniture,1500,N/A,Close to none
Fiasco,Vehicle,250000,N/A,Close to none
Field,Texture,750000,N/A,Close to none
Fire,Texture,3000000,N/A,Low
Fire,Weapon Skin,1000000,N/A,Close to none
Fire Brigade,Horn,N/A,N/A,Unknown
Fire Truck,Vehicle,175000,N/A,Unknown
Flags Of Europe,Tire Sticker,250000,N/A,Close to none
Flame Spitter,Spoiler,100000,N/A,Close to none
Flamethrower,Drift,300000,N/A,Close to none
Flamethrower,Spoiler,1500000,N/A,Very Low
Flaming,Texture,750000,N/A,Close to none
Flaming,Weapon Skin,1500000,N/A,Close to none
Flat Black,Tire Sticker,1000,N/A,Unknown
Flatscreen,Furniture,4000,N/A,Close to none
Floor Globe Blue,Furniture,1000,N/A,Close to none
Flower,Rim,5000,N/A,Close to none
Foosball Table,Furniture,1250000,N/A,Close to none
Fore,Rim,1500000,N/A,Very Low
Forest Green,Body Color,1000,N/A,Unknown
Forged,Rim,300000,N/A,Close to none
FreeStyle,Tire Sticker,250000,N/A,Unknown
French Croissant Sofa,Furniture,250000,N/A,Close to none
Frit,Texture,20000,N/A,Unknown
Frost,Texture,10000,N/A,Unknown
Frost Crawler,Vehicle,1250000,N/A,Close to none
Frostburn,Rim,1500000,N/A,Very Low
GTR,Spoiler,250000,N/A,Close to none
Galactic Carbon,Texture,3500000,N/A,Low
Galactic Carbon,Weapon Skin,1000000,N/A,Close to none
Galaxy,Texture,40000,N/A,Unknown
Galaxy Wave,Texture,20000,N/A,Unknown
Gamer Chair,Furniture,750000,N/A,Close to none
Gamer TV Set,Furniture,N/A,N/A,Unknown
Ghost Catcher,Spoiler,1000000,N/A,Unknown
Giant OG Snowman,Furniture,250000,N/A,Close to none
Glacier,Tire Style,500000,N/A,Close to none
Glider,Spoiler,3000000,N/A,Very Low
Glider Shop,Spoiler,750000,N/A,Close to none
Glowing Yellow,Texture,750000,N/A,Close to none
Gold,Body Color,1250000,N/A,Very Low
Goliath,Vehicle,5000000,N/A,Decent
Gradient Pixel,Drift,8500000,N/A,Decent
Grand Piano,Furniture,25000,N/A,Close to none
Grande Punto,Rim,100000,N/A,Unknown
Green,Body Color,1000,N/A,Unknown
Grey,Body Color,1000,N/A,Unknown
Guitar Riff,Spoiler,1000000,N/A,Close to none
Gulf,Texture,500000,N/A,Close to none
Gun Fire,Rim,250000,N/A,Close to none
Gun Rack,Furniture,100000,N/A,Close to none
Halo,Rim,N/A,N/A,Unknown
Hammer Head,Vehicle,350000,N/A,Close to none
Handcuff,Rim,750000,N/A,Close to none
Harpoon,Spoiler,50000,N/A,Close to none
Hatch Voids,Rim,250000,N/A,Close to none
Haunting Door,Furniture,500000,N/A,Close to none
Hazards,Spoiler,750000,N/A,Close to none
Heli,Vehicle,N/A,N/A,Unknown
Heli Night,Furniture,10000,N/A,Close to none
Heli Prop,Rim,250000,N/A,Close to none
HelloItsVG,Tire Sticker,20000,N/A,Unknown
Hero Zapper,Furniture,250000,N/A,Close to none
Hex-Bond,Rim,N/A,N/A,Unknown
Hold E,Rim,50000,N/A,Close to none
Holo,Spoiler,N/A,N/A,Unknown
Hologram Donut Vendor,Furniture,25000,N/A,Unknown
Hot Chocolate Tub,Furniture,3500000,N/A,Close to none
Hot Orange,Body Color,10000,N/A,Close to none
Hotdog,Texture,750000,N/A,Close to none
Hottest Pink,Body Color,5000,N/A,Unknown
HungrySnake,Tire Sticker,N/A,N/A,Unknown
HyperBlue Level 1,HyperChrome,N/A,N/A,Unknown
HyperBlue Level 2,HyperChrome,4000000,N/A,Low
HyperBlue Level 3,HyperChrome,21000000,N/A,Low
HyperBlue Level 4,HyperChrome,46000000,N/A,Very Low
HyperBlue Level 5,HyperChrome,59000000,50000000,Low
HyperDiamond Level 1,HyperChrome,N/A,N/A,Unknown
HyperDiamond Level 2,HyperChrome,3500000,N/A,Medium
HyperDiamond Level 3,HyperChrome,18000000,N/A,Decent
HyperDiamond Level 4,HyperChrome,46000000,N/A,Low
HyperDiamond Level 5,HyperChrome,65000000,60000000,Low
HyperGreen Level 1,HyperChrome,N/A,N/A,Unknown
HyperGreen Level 2,HyperChrome,1000000,N/A,Close to none
HyperGreen Level 3,HyperChrome,4000000,N/A,Medium
HyperGreen Level 4,HyperChrome,19000000,N/A,Low
HyperGreen Level 5,HyperChrome,25000000,23000000,Decent
HyperOrange Level 1,HyperChrome,N/A,N/A,Unknown
HyperOrange Level 2,HyperChrome,1000000,N/A,Close to none
HyperOrange Level 3,HyperChrome,4000000,N/A,Medium
HyperOrange Level 4,HyperChrome,20000000,N/A,Low
HyperOrange Level 5,HyperChrome,34000000,31500000,Decent
HyperPink Level 1,HyperChrome,N/A,N/A,Unknown
HyperPink Level 2,HyperChrome,1000000,N/A,Close to none
HyperPink Level 3,HyperChrome,12000000,N/A,Medium
HyperPink Level 4,HyperChrome,40000000,N/A,Low
HyperPink Level 5,HyperChrome,58000000,51000000,Decent
HyperPurple Level 1,HyperChrome,N/A,N/A,Unknown
HyperPurple Level 2,HyperChrome,1000000,N/A,Close to none
HyperPurple Level 3,HyperChrome,10000000,N/A,Medium
HyperPurple Level 4,HyperChrome,31500000,N/A,Medium
HyperPurple Level 5,HyperChrome,42000000,40000000,Decent
HyperRed Level 1,HyperChrome,N/A,N/A,Unknown
HyperRed Level 2,HyperChrome,1000000,N/A,Close to none
HyperRed Level 3,HyperChrome,6000000,N/A,Medium
HyperRed Level 4,HyperChrome,26000000,N/A,Very Low
HyperRed Level 5,HyperChrome,45000000,39000000,Decent
HyperShift,HyperChrome,349000000,312500000,Medium
HyperShift Level 4,HyperChrome,245000000,N/A,Very Low
HyperYellow Level 1,HyperChrome,N/A,N/A,Unknown
HyperYellow Level 2,HyperChrome,500000,N/A,Close to none
HyperYellow Level 3,HyperChrome,4000000,N/A,Medium
HyperYellow Level 4,HyperChrome,14000000,N/A,Low
HyperYellow Level 5,HyperChrome,20000000,18000000,Decent
Hypno,Rim,2500000,N/A,Very Low
Ice,Texture,20000,N/A,Unknown
Ice Crystal,Rim,250000,N/A,Close to none
Ice Spike,Drift,1000000,N/A,Very Low
Iceborn,Vehicle,3000000,N/A,Medium
Icebreaker,Vehicle,20000000,17000000,Decent
Icicle,Rim,4500000,N/A,Very Low
If I Had One,Furniture,750000,N/A,Close to none
Inf1n1ty,Rim,2500000,N/A,Decent
Injan,Horn,N/A,N/A,Unknown
Insert Coin,Tire Sticker,N/A,N/A,Unknown
Interrogator,Vehicle,30000,N/A,Unknown
Ionize,Rim,4500000,N/A,Very Low
Iron Rock,Rim,2500000,N/A,Very Low
JB8,Vehicle,3500000,N/A,Decent
JBMS,Tire Sticker,20000,N/A,Unknown
JBX-0031,Vehicle,3000000,N/A,Medium
JDM,Spoiler,1000000,N/A,Close to none
Jackrabbit,Vehicle,1500000,N/A,Very Low
Jade Glow,Tire Sticker,N/A,N/A,Unknown
Jailbreak,Tire Sticker,20000,N/A,Unknown
Jailbreak Army,Tire Sticker,2000000,N/A,Very Low
Jailbreak Hills,Spoiler,50000,N/A,Close to none
Japanese,Tire Sticker,2500000,N/A,Low
Japanese Lantern,Spoiler,1000000,N/A,Close to none
Japanese Neon Sign,Furniture,250000,N/A,Close to none
Javelin,Vehicle,51000000,51000000,Very High
Jeep,Vehicle,N/A,N/A,Unknown
Jet,Rim,10000,N/A,Unknown
Jet,Vehicle,1000000,N/A,Close to none
Jet Ski,Vehicle,50000,N/A,Unknown
Jetpack,Spoiler,1500000,N/A,Very Low
Jungle Mosaic,Tire Sticker,5000,N/A,Close to none
Jungle Palm,Rim,750000,N/A,Close to none
Jungle Ruins,Tire Style,100000,N/A,Close to none
Jungle Vine,Drift,750000,N/A,Close to none
Kanagawa,Tire Sticker,750000,N/A,Close to none
Katana,Vehicle,3500000,N/A,Medium
King,Spoiler,150000,N/A,Unknown
King Bed,Furniture,4000,N/A,Close to none
King Reaper,Spoiler,250000,N/A,Close to none
Kraken,Rim,500000,N/A,Close to none
Kraken Attack,Spoiler,500000,N/A,Close to none
KraoESP,Tire Sticker,20000,N/A,Unknown
KreekCraft,Tire Sticker,20000,N/A,Unknown
La Matador,Vehicle,100000,N/A,Unknown
Ladybug,Texture,100000,N/A,Close to none
Landmine,Rim,10000,N/A,Close to none
Lapine,Rim,250000,N/A,Close to none
Large Curtain,Furniture,1000,N/A,Close to none
Large Houseplant,Furniture,3500,N/A,Close to none
Laser Cannon,Rim,28000000,N/A,Decent
Laser Wire,Spoiler,100000,N/A,Close to none
